Lap,Sector1,Sector2,Sector3,Sector4,Sector5
1,0.58,0.5400000000000001,0.5999999999999999,0.41999999999999993,1.55
2,0.5700000000000001,0.52,0.5700000000000001,0.42999999999999994,1.36
3,0.58,0.5100000000000001,0.5800000000000001,0.41999999999999993,1.36
4,0.5700000000000001,0.52,0.5800000000000001,0.41999999999999993,1.3499999999999999
5,0.56,0.52,0.5599999999999998,0.42000000000000015,1.38
6,0.5900000000000001,0.53,0.5699999999999998,0.43000000000000016,1.3099999999999996
7,0.5599999999999999,0.5400000000000001,0.5700000000000001,0.41999999999999993,1.3100000000000003
8,0.56,0.52,0.5800000000000001,0.4299999999999997,1.3100000000000005
9,0.57,0.5100000000000001,0.5700000000000001,0.42999999999999994,1.31
10,0.57,0.5200000000000001,0.5700000000000001,0.4299999999999997,1.3000000000000003
11,0.5700000000000001,0.53,0.5700000000000001,0.43000000000000016,1.32
12,0.58,0.5200000000000001,0.5799999999999998,0.41999999999999993,1.2900000000000003
